order_id,date,month,quarter,year,product,category,region,city,sales_rep,units_sold,unit_price,revenue,profit,customer_segment
1001,2024-01-05,January,Q1,2024,Laptop Pro,Electronics,North,Delhi,Amit,10,85000,850000,255000,Enterprise
1002,2024-01-08,January,Q1,2024,Office Chair,Furniture,South,Mumbai,Priya,25,12000,300000,90000,SMB
1003,2024-01-12,January,Q1,2024,Smartphone X,Electronics,East,Kolkata,Raj,30,45000,1350000,405000,Consumer
1004,2024-01-15,January,Q1,2024,Standing Desk,Furniture,West,Ahmedabad,Sara,15,25000,375000,112500,Enterprise
1005,2024-01-18,January,Q1,2024,Wireless Earbuds,Electronics,North,Delhi,Amit,50,8000,400000,120000,Consumer
1006,2024-01-22,January,Q1,2024,T-Shirt Pack,Clothing,South,Mumbai,Priya,100,2000,200000,60000,Consumer
1007,2024-01-25,January,Q1,2024,Rice 10kg,Food,East,Kolkata,Raj,200,800,160000,48000,Consumer
1008,2024-01-28,January,Q1,2024,Sofa Set,Furniture,West,Ahmedabad,Sara,8,55000,440000,132000,Enterprise
1009,2024-02-03,February,Q1,2024,Laptop Pro,Electronics,South,Chennai,Vikram,12,85000,1020000,306000,Enterprise
1010,2024-02-06,February,Q1,2024,Smartphone X,Electronics,North,Delhi,Amit,35,45000,1575000,472500,Consumer
1011,2024-02-10,February,Q1,2024,Office Chair,Furniture,East,Kolkata,Raj,20,12000,240000,72000,SMB
1012,2024-02-14,February,Q1,2024,Jeans,Clothing,West,Ahmedabad,Sara,80,3500,280000,84000,Consumer
1013,2024-02-18,February,Q1,2024,Wireless Earbuds,Electronics,South,Chennai,Vikram,60,8000,480000,144000,Consumer
1014,2024-02-22,February,Q1,2024,Cooking Oil 5L,Food,North,Delhi,Amit,300,500,150000,45000,Consumer
1015,2024-02-26,February,Q1,2024,Gaming Chair,Furniture,East,Kolkata,Raj,10,18000,180000,54000,SMB
1016,2024-03-02,March,Q1,2024,Laptop Pro,Electronics,West,Pune,Neha,8,85000,680000,204000,Enterprise
1017,2024-03-05,March,Q1,2024,Smartphone X,Electronics,South,Chennai,Vikram,40,45000,1800000,540000,Consumer
1018,2024-03-08,March,Q1,2024,Standing Desk,Furniture,North,Delhi,Amit,18,25000,450000,135000,Enterprise
1019,2024-03-12,March,Q1,2024,Winter Jacket,Clothing,East,Kolkata,Raj,60,5000,300000,90000,Consumer
1020,2024-03-15,March,Q1,2024,Biscuits Pack,Food,West,Ahmedabad,Sara,500,200,100000,30000,Consumer
1021,2024-03-18,March,Q1,2024,Wireless Earbuds,Electronics,South,Chennai,Vikram,45,8000,360000,108000,Consumer
1022,2024-03-22,March,Q1,2024,Office Chair,Furniture,North,Delhi,Amit,30,12000,360000,108000,SMB
1023,2024-03-28,March,Q1,2024,Laptop Pro,Electronics,East,Kolkata,Raj,15,85000,1275000,382500,Enterprise
1024,2024-04-02,April,Q2,2024,Smartphone X,Electronics,West,Pune,Neha,50,45000,2250000,675000,Consumer
1025,2024-04-05,April,Q2,2024,Sofa Set,Furniture,North,Delhi,Amit,12,55000,660000,198000,Enterprise
1026,2024-04-08,April,Q2,2024,Summer Dress,Clothing,South,Mumbai,Priya,120,2500,300000,90000,Consumer
1027,2024-04-12,April,Q2,2024,Mango Juice,Food,East,Kolkata,Raj,400,300,120000,36000,Consumer
1028,2024-04-15,April,Q2,2024,Laptop Pro,Electronics,West,Pune,Neha,20,85000,1700000,510000,Enterprise
1029,2024-04-18,April,Q2,2024,Gaming Chair,Furniture,North,Delhi,Amit,15,18000,270000,81000,SMB
1030,2024-04-22,April,Q2,2024,Wireless Earbuds,Electronics,South,Mumbai,Priya,70,8000,560000,168000,Consumer
1031,2024-04-26,April,Q2,2024,Jeans,Clothing,East,Kolkata,Raj,90,3500,315000,94500,Consumer
1032,2024-05-02,May,Q2,2024,Smartphone X,Electronics,North,Delhi,Amit,55,45000,2475000,742500,Consumer
1033,2024-05-05,May,Q2,2024,Office Chair,Furniture,South,Chennai,Vikram,35,12000,420000,126000,SMB
1034,2024-05-08,May,Q2,2024,Laptop Pro,Electronics,East,Kolkata,Raj,18,85000,1530000,459000,Enterprise
1035,2024-05-12,May,Q2,2024,Cooking Oil 5L,Food,West,Ahmedabad,Sara,350,500,175000,52500,Consumer
1036,2024-05-15,May,Q2,2024,Summer Dress,Clothing,North,Delhi,Amit,150,2500,375000,112500,Consumer
1037,2024-05-18,May,Q2,2024,Standing Desk,Furniture,South,Chennai,Vikram,22,25000,550000,165000,Enterprise
1038,2024-05-22,May,Q2,2024,Wireless Earbuds,Electronics,East,Kolkata,Raj,80,8000,640000,192000,Consumer
1039,2024-05-28,May,Q2,2024,Smartphone X,Electronics,West,Pune,Neha,60,45000,2700000,810000,Consumer
1040,2024-06-02,June,Q2,2024,Laptop Pro,Electronics,North,Delhi,Amit,25,85000,2125000,637500,Enterprise
1041,2024-06-05,June,Q2,2024,Sofa Set,Furniture,South,Mumbai,Priya,10,55000,550000,165000,Enterprise
1042,2024-06-08,June,Q2,2024,T-Shirt Pack,Clothing,East,Kolkata,Raj,200,2000,400000,120000,Consumer
1043,2024-06-12,June,Q2,2024,Mango Juice,Food,West,Ahmedabad,Sara,600,300,180000,54000,Consumer
1044,2024-06-15,June,Q2,2024,Smartphone X,Electronics,North,Delhi,Amit,65,45000,2925000,877500,Consumer
1045,2024-06-18,June,Q2,2024,Gaming Chair,Furniture,South,Chennai,Vikram,20,18000,360000,108000,SMB
1046,2024-06-22,June,Q2,2024,Wireless Earbuds,Electronics,East,Kolkata,Raj,90,8000,720000,216000,Consumer
1047,2024-06-28,June,Q2,2024,Winter Jacket,Clothing,West,Pune,Neha,40,5000,200000,60000,Consumer
1048,2024-07-02,July,Q3,2024,Laptop Pro,Electronics,North,Delhi,Amit,30,85000,2550000,765000,Enterprise
1049,2024-07-05,July,Q3,2024,Smartphone X,Electronics,South,Mumbai,Priya,70,45000,3150000,945000,Consumer
1050,2024-07-08,July,Q3,2024,Office Chair,Furniture,East,Kolkata,Raj,40,12000,480000,144000,SMB
1051,2024-07-12,July,Q3,2024,Rice 10kg,Food,West,Ahmedabad,Sara,600,800,480000,144000,Consumer
1052,2024-07-15,July,Q3,2024,Standing Desk,Furniture,North,Delhi,Amit,25,25000,625000,187500,Enterprise
1053,2024-07-18,July,Q3,2024,Summer Dress,Clothing,South,Chennai,Vikram,180,2500,450000,135000,Consumer
1054,2024-07-22,July,Q3,2024,Wireless Earbuds,Electronics,East,Kolkata,Raj,100,8000,800000,240000,Consumer
1055,2024-07-28,July,Q3,2024,Laptop Pro,Electronics,West,Pune,Neha,22,85000,1870000,561000,Enterprise
1056,2024-08-02,August,Q3,2024,Smartphone X,Electronics,North,Delhi,Amit,75,45000,3375000,1012500,Consumer
1057,2024-08-05,August,Q3,2024,Sofa Set,Furniture,South,Mumbai,Priya,15,55000,825000,247500,Enterprise
1058,2024-08-08,August,Q3,2024,Jeans,Clothing,East,Kolkata,Raj,150,3500,525000,157500,Consumer
1059,2024-08-12,August,Q3,2024,Cooking Oil 5L,Food,West,Ahmedabad,Sara,400,500,200000,60000,Consumer
1060,2024-08-15,August,Q3,2024,Laptop Pro,Electronics,North,Delhi,Amit,28,85000,2380000,714000,Enterprise
1061,2024-08-18,August,Q3,2024,Gaming Chair,Furniture,South,Chennai,Vikram,25,18000,450000,135000,SMB
1062,2024-08-22,August,Q3,2024,Wireless Earbuds,Electronics,East,Kolkata,Raj,110,8000,880000,264000,Consumer
1063,2024-08-28,August,Q3,2024,Smartphone X,Electronics,West,Pune,Neha,80,45000,3600000,1080000,Consumer
1064,2024-09-02,September,Q3,2024,Laptop Pro,Electronics,South,Mumbai,Priya,35,85000,2975000,892500,Enterprise
1065,2024-09-05,September,Q3,2024,Office Chair,Furniture,North,Delhi,Amit,45,12000,540000,162000,SMB
1066,2024-09-08,September,Q3,2024,T-Shirt Pack,Clothing,East,Kolkata,Raj,250,2000,500000,150000,Consumer
1067,2024-09-12,September,Q3,2024,Biscuits Pack,Food,West,Ahmedabad,Sara,700,200,140000,42000,Consumer
1068,2024-09-15,September,Q3,2024,Smartphone X,Electronics,North,Delhi,Amit,85,45000,3825000,1147500,Consumer
1069,2024-09-18,September,Q3,2024,Standing Desk,Furniture,South,Chennai,Vikram,30,25000,750000,225000,Enterprise
1070,2024-09-22,September,Q3,2024,Wireless Earbuds,Electronics,East,Kolkata,Raj,120,8000,960000,288000,Consumer
1071,2024-09-28,September,Q3,2024,Laptop Pro,Electronics,West,Pune,Neha,40,85000,3400000,1020000,Enterprise
1072,2024-10-02,October,Q4,2024,Smartphone X,Electronics,North,Delhi,Amit,90,45000,4050000,1215000,Consumer
1073,2024-10-05,October,Q4,2024,Sofa Set,Furniture,South,Mumbai,Priya,18,55000,990000,297000,Enterprise
1074,2024-10-08,October,Q4,2024,Winter Jacket,Clothing,East,Kolkata,Raj,200,5000,1000000,300000,Consumer
1075,2024-10-12,October,Q4,2024,Rice 10kg,Food,West,Ahmedabad,Sara,800,800,640000,192000,Consumer
1076,2024-10-15,October,Q4,2024,Laptop Pro,Electronics,North,Delhi,Amit,45,85000,3825000,1147500,Enterprise
1077,2024-10-18,October,Q4,2024,Gaming Chair,Furniture,South,Chennai,Vikram,30,18000,540000,162000,SMB
1078,2024-10-22,October,Q4,2024,Wireless Earbuds,Electronics,East,Kolkata,Raj,130,8000,1040000,312000,Consumer
1079,2024-10-28,October,Q4,2024,Smartphone X,Electronics,West,Pune,Neha,95,45000,4275000,1282500,Consumer
1080,2024-11-02,November,Q4,2024,Laptop Pro,Electronics,South,Mumbai,Priya,50,85000,4250000,1275000,Enterprise
1081,2024-11-05,November,Q4,2024,Office Chair,Furniture,North,Delhi,Amit,55,12000,660000,198000,SMB
1082,2024-11-08,November,Q4,2024,Jeans,Clothing,East,Kolkata,Raj,300,3500,1050000,315000,Consumer
1083,2024-11-12,November,Q4,2024,Mango Juice,Food,West,Ahmedabad,Sara,900,300,270000,81000,Consumer
1084,2024-11-15,November,Q4,2024,Smartphone X,Electronics,North,Delhi,Amit,100,45000,4500000,1350000,Consumer
1085,2024-11-18,November,Q4,2024,Standing Desk,Furniture,South,Chennai,Vikram,35,25000,875000,262500,Enterprise
1086,2024-11-22,November,Q4,2024,Wireless Earbuds,Electronics,East,Kolkata,Raj,140,8000,1120000,336000,Consumer
1087,2024-11-28,November,Q4,2024,Laptop Pro,Electronics,West,Pune,Neha,55,85000,4675000,1402500,Enterprise
1088,2024-12-02,December,Q4,2024,Smartphone X,Electronics,North,Delhi,Amit,110,45000,4950000,1485000,Consumer
1089,2024-12-05,December,Q4,2024,Sofa Set,Furniture,South,Mumbai,Priya,20,55000,1100000,330000,Enterprise
1090,2024-12-08,December,Q4,2024,Winter Jacket,Clothing,East,Kolkata,Raj,350,5000,1750000,525000,Consumer
1091,2024-12-12,December,Q4,2024,Cooking Oil 5L,Food,West,Ahmedabad,Sara,1000,500,500000,150000,Consumer
1092,2024-12-15,December,Q4,2024,Laptop Pro,Electronics,North,Delhi,Amit,60,85000,5100000,1530000,Enterprise
1093,2024-12-18,December,Q4,2024,Gaming Chair,Furniture,South,Chennai,Vikram,35,18000,630000,189000,SMB
1094,2024-12-22,December,Q4,2024,Wireless Earbuds,Electronics,East,Kolkata,Raj,150,8000,1200000,360000,Consumer
1095,2024-12-28,December,Q4,2024,Smartphone X,Electronics,West,Pune,Neha,120,45000,5400000,1620000,Consumer